detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,7f4d4b34-c8fb-4e8f-bd4e-51dc1d0ae661,sahiuqlyojjjvijzbfqt,1745455048330000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,ed9071bc-8c4e-4bb7-8a8c-4f9c3cf3955d,sahiuqlyojjjvijzbfqt,1745455027740000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_migrations SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,687ba966-7959-4c8f-8244-fd2eab5e7e8b,sahiuqlyojjjvijzbfqt,1745455027740000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_migrations SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,76362598-908b-4aa8-9d49-b95158be11d3,sahiuqlyojjjvijzbfqt,1745455027740000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,38d3b02a-7f1b-45f5-92e6-4ce9a285e1e6,sahiuqlyojjjvijzbfqt,1745455027740000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,0a10e42d-339d-4c44-b2a1-bb5e6fc34526,sahiuqlyojjjvijzbfqt,1745455027494000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_health_check SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a98a27ba-01d2-481e-ace1-7acbeaa8096c,sahiuqlyojjjvijzbfqt,1745455027494000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,2960724d-d913-4157-aad0-1acb1f87ca1f,sahiuqlyojjjvijzbfqt,1745455027157000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,c4507d08-37bb-4fbb-867e-23781a8aa8b4,sahiuqlyojjjvijzbfqt,1745455027157000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,bfc5a331-821a-43fb-ab2e-9eed73e8d00d,sahiuqlyojjjvijzbfqt,1745455027148000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,6ffaa6bb-9cda-487a-8ddb-2f25396011f8,sahiuqlyojjjvijzbfqt,1745455027148000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,7c1c3705-7446-49d4-8646-d3567967947f,sahiuqlyojjjvijzbfqt,1745455026991000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a81e5b17-5855-4694-befb-dea8f075e9b8,sahiuqlyojjjvijzbfqt,1745455026991000
null,WARNING,PgBouncer auth request: supabase_storage_admin,null,234be3da-48e7-4dab-b9c0-54ce79f6453c,sahiuqlyojjjvijzbfqt,1745455026931000
null,LOG,connection received: host=2a05:d018:1e14:201:a128:337e:8da5:ed7e port=59230,null,abc7f314-3237-4a46-972e-82e206f7fa95,sahiuqlyojjjvijzbfqt,1745455026866000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,6548471b-f682-4201-a660-33f9db062691,sahiuqlyojjjvijzbfqt,1745454988330000
null,LOG,connection received: host=::1 port=3761,null,808953dd-aee6-4a1d-ae39-cccc595ee8b8,sahiuqlyojjjvijzbfqt,1745454988329000
null,LOG,"checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.103 s, sync=0.004 s, total=0.116 s; sync files=2, longest=0.003 s, average=0.002 s; distance=0 kB, estimate=262 kB",null,4504e441-80dc-4b7e-915a-fffb52403a96,sahiuqlyojjjvijzbfqt,1745454930872000
null,LOG,checkpoint starting: time,null,25b2a536-ad88-43bb-9257-c9b5987eea0a,sahiuqlyojjjvijzbfqt,1745454930756000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,0799d447-2ad7-4dc7-ba05-acd9cb886539,sahiuqlyojjjvijzbfqt,1745454928330000
null,LOG,connection received: host=::1 port=33641,null,18d7a6cf-9d26-45ff-b925-326c96f58b9f,sahiuqlyojjjvijzbfqt,1745454928329000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,285dc5f7-1246-44c3-91c0-62a8e43db6b4,sahiuqlyojjjvijzbfqt,1745454868330000
null,LOG,connection received: host=::1 port=59337,null,14e674cd-0945-4980-aed5-8af17a77e86c,sahiuqlyojjjvijzbfqt,1745454868329000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,e900172a-8b20-44e5-a220-baacd5902f50,sahiuqlyojjjvijzbfqt,1745454846784000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_migrations SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,2aeb51bd-01f8-4c8c-b1d4-475f14b1d9df,sahiuqlyojjjvijzbfqt,1745454846784000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,91dcd0aa-d4a2-44fb-a642-e892deeb4c04,sahiuqlyojjjvijzbfqt,1745454846784000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_migrations SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,2ba7a78b-1357-4a9f-9759-dc28a5456b53,sahiuqlyojjjvijzbfqt,1745454846784000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=realtime_health_check SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,9caf9d92-c7ea-4b8e-a348-4f91ccd352a0,sahiuqlyojjjvijzbfqt,1745454846536000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,a88e01dd-aebf-4887-8d8f-bf797501fba9,sahiuqlyojjjvijzbfqt,1745454846536000
